idx,word,occurrences
1368,flyingitforward,9
1369,fam,9
1370,belong,9
1371,kiosk,9
1372,review,9
1373,tx,9
1374,sunni,9
1375,promot,9
1376,jan,9
1377,guitar,9
1378,ripoff,9
1379,nasti,9
1380,badli,9
1381,cancun,9
1382,asham,9
1383,finish,9
1384,frozen,9
1385,pvd,9
1386,mon,9
1387,heathrow,9
1388,honeymoon,9
1389,tkt,9
1390,sometim,9
1391,fight,9
1392,stroller,9
1393,em,9
1394,whatev,9
1395,flyfi,8
1396,dinner,8
1397,wout,8
1398,commit,8
1399,exec,8
1400,pa,8
1401,tue,8
1402,action,8
1403,crappi,8
1404,skill,8
1405,understaf,8
1406,warn,8
1407,integr,8
1408,polic,8
1409,industri,8
1410,mr,8
1411,laguardia,8
1412,sight,8
1413,csr,8
1414,dirti,8
1415,p,8
1416,boy,8
1417,refresh,8
1418,present,8
1419,luckili,8
1420,ind,8
1421,jh,8
1422,ft,8
1423,lauderdal,8
1424,wouldv,8
1425,among,8
1426,balanc,8
1427,rough,8
1428,au,8
1429,ipad,8
1430,memori,8
1431,biz,8
1432,hadnt,8
1433,benefit,8
1434,shoe,8
1435,whose,8
1436,thend,8
1437,inbound,8
1438,agre,8
1439,regist,8
1440,bonu,8
1441,msg,8
1442,truck,8
1443,puerto,8
1444,formal,8
1445,canada,8
1446,flightli,8
1447,pack,8
1448,mke,8
1449,aadvantag,8
1450,costum,8
1451,ici,8
1452,ensur,8
1453,august,8
1454,downgrad,8
1455,va,8
1456,hunt,8
1457,breakfast,8
1458,teach,8
1459,repeat,8
1460,english,8
1461,convers,8
1462,brought,8
1463,lame,8
1464,lauren,8
1465,fraud,8
1466,curiou,8
1467,paperwork,8
1468,confer,8
1469,tech,8
1470,personnel,8
1471,abq,8
1472,njb,8
1473,odd,8
1474,disrespect,8
1475,boyfriend,8
1476,featur,8
1477,execut,8
1478,prob,8
1479,compass,8
1480,francisco,8
1481,split,8
1482,assur,8
1483,allianc,8
1484,theyv,8
1485,preboard,8
1486,medic,8
1487,crap,8
1488,rest,8
1489,salt,8
1490,global,8
1491,devic,8
1492,acknowledg,8
1493,pari,8
1494,ourselv,8
1495,bathroom,8
1496,peanut,8
1497,ton,8
1498,outbound,8
1499,perhap,8
1500,queue,8
1501,unavail,8
1502,bf,8
1503,smile,8
1504,develop,8
1505,karen,8
1506,toddler,8
1507,thest,8
1508,metal,8
1509,mci,7
1510,effici,7
1511,ahr,7
1512,est,7
1513,abc,7
1514,elev,7
1515,epic,7
1516,valid,7
1517,plat,7
1518,perk,7
1519,til,7
1520,young,7
1521,outsourc,7
1522,common,7
1523,liveri,7
1524,standard,7
1525,ahold,7
1526,shop,7
1527,europ,7
1528,ric,7
1529,cun,7
1530,heart,7
1531,dtw,7
1532,thepm,7
1533,q,7
1534,forecast,7
1535,challeng,7
1536,download,7
1537,toilet,7
1538,statement,7
1539,equal,7
1540,smooth,7
1541,portland,7
1542,pen,7
1543,reconsid,7
1544,anniversari,7
1545,nexu,7
1546,a+,7
1547,honestli,7
1548,mari,7
1549,unload,7
1550,success,7
1551,collect,7
1552,sun,7
1553,usairwayssuck,7
1554,worstairlineev,7
1555,histori,7
1556,g,7
1557,reinstat,7
1558,horrend,7
1559,father,7
1560,quot,7
1561,lesson,7
1562,pocket,7
1563,shown,7
1564,approv,7
1565,lit,7
1566,badg,7
1567,jacksonvil,7
1568,surgeri,7
1569,shut,7
1570,ring,7
1571,stink,7
1572,whether,7
1573,gross,7
1574,drunk,7
1575,hungri,7
1576,ship,7
1577,irrit,7
1578,unless,7
1579,sjc,7
1580,zone,7
1581,exchang,7
1582,harder,7
1583,?,7
1584,aviat,7
1585,volunt,7
1586,gift,7
1587,theyd,7
1588,unitedsuck,7
1589,fb,7
1590,waterburi,7
1591,republican,7
1592,greet,7
1593,alist,7
1594,period,7
1595,field,7
1596,pt,7
1597,cup,7
1598,wet,7
1599,hpn,7
1600,australia,7
1601,grand,7
1602,delet,7
1603,thnx,7
1604,consider,7
1605,coast,7
1606,nation,7
1607,lhr,7
1608,slept,7
1609,notcool,7
1610,manner,7
